Nomor,Nomor Identitias,Badan Usaha,Nama Stasiun,Skema SPKLU,Provinsi,Kabupaten / Kota,Alamat,Latitude,Longitude,Tanggal Pengajuan,Tanggal Verifikasi,Status Terintegrasi,Total Transaksi,Total Konsumsi Listrik,Total Pendapatan
646,01.POSO.00.1208.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP PARAPAT,POSO,Sumatera Utara,KAB. SIMALUNGUN,"Jl. Bangun Dolok Nomor 14 Girsang Sipangan Bolon, Simalungun, Sumatera Utara",2.667909,98.943222,9/13/2024 10:36,10/1/2024 10:01,Ya,,,
647,01.POSO.00.1208.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP PARAPAT,POSO,Sumatera Utara,KAB. SIMALUNGUN,"Jl. Bangun Dolok Nomor 14 Girsang Sipangan Bolon, Simalungun, Sumatera Utara",2.667909,98.943222,9/13/2024 10:36,10/1/2024 10:01,Ya,,,
648,01.POSO.00.1206.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP BRASTAGI,POSO,Sumatera Utara,KAB. KARO,"Jl. Udara No.7, Gundaling I, Berastagi, Gundaling I, Kec. Berastagi, Kab. Karo, Sumatera Utara",3.188011,98.508158,9/13/2024 10:36,10/1/2024 10:01,Ya,,,
649,01.POSO.00.1276.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Tebing Tinggi,POSO,Sumatera Utara,KOTA TEBING TINGGI,"Jl. Jend. Sudirman No.287, Badak Bejuang, Tebing Tinggi Kota, Sumatera Utara",3.3351565,99.1606286,9/13/2024 10:36,10/1/2024 10:01,Ya,,,
650,01.POSO.00.7371.007,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Mattoanging,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl. DR. Ratulangi, Mangkura",-5.148397,119.4157866,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
651,01.POSO.00.7371.008,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Mattoanging,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl. DR. Ratulangi, Mangkura",-5.148397,119.4157866,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
652,01.POSO.00.7371.009,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Mattoanging,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl. DR. Ratulangi, Mangkura",-5.148397,119.4157866,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
653,01.POSO.00.7371.010,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Mattoanging,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl. DR. Ratulangi, Mangkura",-5.148397,119.4157866,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
654,01.POSO.00.7471.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Wua Wua,POSO,Sulawesi Tenggara,KOTA KENDARI,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",-4.01973,122.50375,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
655,01.POSO.00.7471.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Wua Wua,POSO,Sulawesi Tenggara,KOTA KENDARI,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",-4.01973,122.50375,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
656,01.POSO.00.7471.004,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN ULP Wua Wua,POSO,Sulawesi Tenggara,KOTA KENDARI,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",-4.01973,122.50375,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
657,01.POSO.00.7371.011,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Makassar Selatan,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl Letjen Hertasning No. 99, Tamalate, Rappocini, Bonto Makkio, Makassar, Sulawesi Selatan",-5.1643506,119.4454344,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
658,01.POSO.00.7371.012,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 Makassar Selatan,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl Letjen Hertasning No. 99, Tamalate, Rappocini, Bonto Makkio, Makassar, Sulawesi Selatan",-5.1643506,119.4454344,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
659,01.POSO.00.7371.013,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,KANTOR GUBERNUR SULAWESI SELATAN,POSO,Sulawesi Selatan,KOTA MAKASSAR,"Jl. Urip Sumoharjo No.269, Panaikang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",-5.1382399,119.4524889,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
660,01.POSO.00.7372.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UP3 PARE PARE,POSO,Sulawesi Selatan,KOTA PARE PARE,"Jl. Veteran No.32, Ujung Sabbang, Kec. Ujung, Kota Parepare, Sulawesi Selatan",-4.01045,119.623323,9/13/2024 15:51,10/1/2024 10:04,Ya,,,
